Anio;Mes;Dia;Hora;Monitorizar;Redirigir;Interno;Externo;Externo;Cableada;Wifi
2014;12;04;23;384;238;5853;53487;53487;4811;1664
2014;12;05;00;381;110;5148;27596;27596;4123;1516
2014;12;05;01;384;45;4837;15294;15294;3982;1284
2014;12;05;02;383;26;4703;7594;7594;3895;1217
2014;12;05;03;384;6;3709;4203;4203;3816;283
2014;12;05;04;384;11;3550;4613;4613;3851;94
2014;12;05;05;384;16;3436;3128;3128;3836;0
2014;12;05;06;384;16;3767;4221;4221;4019;148
2014;12;05;07;384;49;5930;13165;13165;5025;1338
2014;12;05;08;384;310;46666;28507;28507;24902;22458
2014;12;05;09;384;372;55847;53210;53210;31424;25179
2014;12;05;10;384;458;55411;58077;58077;30636;25617
2014;12;05;11;384;437;57130;51171;51171;32790;25161
2014;12;05;12;384;398;55132;53232;53232;36248;19666
2014;12;05;13;384;311;42429;53911;53911;30187;12937
2014;12;05;14;384;298;24102;49493;49493;15895;8889
2014;12;05;15;384;308;34847;55087;55087;17892;17647
2014;12;05;16;384;363;31462;62087;62087;17030;15179
2014;12;05;17;384;344;24795;58308;58308;14030;11493
2014;12;05;18;384;291;23753;55987;55987;14761;9667
2014;12;05;19;384;244;11709;54973;54973;7188;5149
2014;12;05;20;384;202;7411;54201;54201;5585;2412
2014;12;05;21;384;181;6489;45866;45866;4929;2125
2014;12;05;22;383;157;4539;38940;38940;4266;813
2014;12;05;23;380;136;4906;34069;34069;4201;1221
2014;12;06;00;384;101;4495;24166;24166;4087;893
2014;12;06;01;384;61;3845;12322;12322;4030;260
2014;12;06;02;384;25;3717;6347;6347;3842;284
2014;12;06;03;384;9;3547;3440;3440;3820;120
2014;12;06;04;384;9;3508;3303;3303;3851;50
2014;12;06;05;384;7;3541;2934;2934;3828;104
2014;12;06;06;384;13;3477;1857;1857;3829;45
2014;12;06;07;384;11;3431;4970;4970;3826;0
2014;12;06;08;384;46;3946;11012;11012;4093;283
2014;12;06;09;384;103;4828;27023;27023;4282;1033
2014;12;06;10;384;181;4423;44155;44155;4177;811
2014;12;06;11;384;274;7159;60067;60067;4714;3103
2014;12;06;12;384;333;6506;69748;69748;4522;2701
2014;12;06;13;384;259;5943;62015;62015;4762;1824
2014;12;06;14;383;205;4626;44112;44112;4351;863
2014;12;06;15;384;192;5385;42984;42984;4636;1325
2014;12;06;16;384;194;7277;42661;42661;4735;3120
2014;12;06;17;384;244;6111;47541;47541;4341;2398
2014;12;06;18;384;215;5850;47091;47091;4465;1984
2014;12;06;19;384;181;5894;44525;44525;4398;2061
2014;12;06;20;384;151;4513;36914;36914;4147;901
2014;12;06;21;384;96;4273;30677;30677;4165;588
2014;12;06;22;384;79;3900;23673;23673;4074;289
2014;12;06;23;384;58;4204;18305;18305;4122;524
2014;12;07;00;384;48;4099;13979;13979;4039;492
2014;12;07;01;384;26;3747;9683;9683;4064;93
2014;12;07;02;384;18;3507;5484;5484;3847;62
2014;12;07;03;384;10;3513;4422;4422;3825;82
