Anio;Mes;Dia;Hora;Monitorizar;Redirigir;Interno;Externo;Externo;Cableada;Wifi
2014;09;01;18;384;353;9171;28212;28212;7066;2842
2014;09;01;19;384;275;7045;25652;25652;6257;1447
2014;09;01;20;384;264;5573;26725;26725;5261;960
2014;09;01;21;384;194;5575;20783;20783;5602;551
2014;09;01;22;383;174;5570;20272;20272;5368;759
2014;09;01;23;384;185;5104;19704;19704;4796;877
2014;09;02;00;384;93;4767;12490;12490;4968;276
2014;09;02;01;384;55;3786;8444;8444;4025;200
2014;09;02;02;384;23;3582;5734;5734;3881;108
2014;09;02;03;384;26;3632;4916;4916;3965;77
2014;09;02;04;384;25;3475;4361;4361;3884;0
2014;09;02;05;384;17;3433;3062;3062;3834;0
2014;09;02;06;384;11;3613;2432;2432;3923;85
2014;09;02;07;384;38;3958;3945;3945;4140;240
2014;09;02;08;384;135;7404;8910;8910;7088;835
2014;09;02;09;384;338;17266;13972;13972;14241;3747
2014;09;02;10;384;494;22739;21900;21900;20125;3492
2014;09;02;11;384;563;26895;28531;28531;22738;5104
2014;09;02;12;383;586;31263;29130;29130;28581;3651
2014;09;02;13;384;462;25917;27245;27245;24356;2407
2014;09;02;14;384;247;10263;21320;21320;9829;1065
2014;09;02;15;384;293;9573;24975;24975;8282;1968
2014;09;02;16;384;428;14626;27842;27842;11496;3942
2014;09;02;17;384;406;13238;28357;28357;9688;4340
2014;09;02;18;381;381;13199;29856;29856;9412;4549
2014;09;02;19;384;353;10979;26263;26263;8685;3031
2014;09;02;20;384;334;6582;28262;28262;5327;1973
2014;09;02;21;383;237;5198;22812;22812;4870;948
2014;09;02;22;383;215;5406;22422;22422;4886;1118
2014;09;02;23;384;167;4656;20694;20694;4762;445
2014;09;03;00;384;121;4606;13924;13924;4533;578
2014;09;03;01;384;55;4068;10696;10696;4069;438
2014;09;03;02;384;86;3863;8414;8414;3903;430
2014;09;03;03;384;22;3771;5325;5325;3837;340
2014;09;03;04;384;19;3589;3223;3223;3866;126
2014;09;03;05;384;14;3523;3903;3903;3830;91
2014;09;03;06;384;18;3633;2651;2651;3883;152
2014;09;03;07;384;53;4410;5055;5055;4511;336
2014;09;03;08;384;135;8017;9831;9831;7146;1390
2014;09;03;09;384;342;20093;17824;17824;17577;3242
2014;09;03;10;384;499;23325;29184;29184;20687;3521
2014;09;03;11;384;557;25008;27494;27494;21529;4420
2014;09;03;12;384;494;27480;28266;28266;23919;4439
2014;09;03;13;380;397;18490;27514;27514;17241;2026
2014;09;03;14;384;331;13318;25184;25184;12445;1588
2014;09;03;15;384;350;16158;24076;24076;13289;3603
2014;09;03;16;384;397;13494;27212;27212;10571;3704
2014;09;03;17;384;463;12044;32889;32889;8423;4468
2014;09;03;18;384;400;11205;30149;30149;8851;3138
2014;09;03;19;384;344;8017;28344;28344;6500;2245
2014;09;03;20;384;280;6682;25304;25304;5500;1846
2014;09;03;21;384;213;5297;21096;21096;5181;713
2014;09;03;22;383;178;5040;20245;20245;4912;689
2014;09;03;23;384;171;4866;19884;19884;4829;592
2014;09;04;00;384;104;4408;15292;15292;4446;450
2014;09;04;01;384;58;4014;10155;10155;4033;423
2014;09;04;02;384;45;3842;6872;6872;3862;409
2014;09;04;03;384;20;3578;5394;5394;3901;81
2014;09;04;04;384;10;3557;4678;4678;3857;94
2014;09;04;05;384;18;3465;4268;4268;3867;0
2014;09;04;06;384;17;3431;2427;2427;3832;0
2014;09;04;07;384;56;3920;4782;4782;4113;247
2014;09;04;08;384;179;8074;12164;12164;7828;809
2014;09;04;09;384;274;17510;18776;18776;14618;3550
2014;09;04;10;384;543;23100;30061;30061;20447;3580
2014;09;04;11;384;668;28892;32574;32574;25995;3949
2014;09;04;12;384;610;30996;33212;33212;28025;3965
2014;09;04;13;384;511;26036;30246;30246;23401;3530
2014;09;04;14;384;410;14763;31264;31264;13182;2375
2014;09;04;15;384;424;13062;26904;26904;10256;3614
2014;09;04;16;384;406;12976;27306;27306;9754;4012
2014;09;04;17;384;438;14520;32140;32140;10855;4487
2014;09;04;18;384;452;9414;33274;33274;7794;2456
2014;09;04;19;384;372;7074;29533;29533;6247;1583
2014;09;04;20;384;289;6586;26920;26920;6342;917
