Anio;Mes;Dia;Hora;Monitorizar;Redirigir;Interno;Externo;Externo;Cableada;Wifi
2013;12;22;06;56;0;426;165;165;482;0
2013;12;23;06;72;1;664;1320;1320;737;0
2013;12;23;07;288;20;2474;6656;6656;2713;69
2013;12;23;08;288;60;4705;17476;17476;3952;1101
2013;12;23;09;288;116;9235;58635;58635;7136;2503
2013;12;23;10;288;147;12129;72299;72299;7161;5403
2013;12;23;11;288;205;12876;84046;84046;7575;5794
2013;12;23;12;288;174;12325;79152;79152;9159;3628
2013;12;23;13;288;168;6924;70808;70808;5677;1703
2013;12;23;14;288;153;5201;62061;62061;5059;583
2013;12;23;15;288;120;3971;62668;62668;3226;1153
2013;12;23;16;288;118;5567;61037;61037;3499;2474
2013;12;23;17;288;114;4135;53723;53723;3371;1166
2013;12;23;18;288;117;4982;51155;51155;3932;1455
2013;12;23;19;288;103;3683;43805;43805;3134;940
2013;12;23;20;288;91;3283;45424;45424;3024;638
2013;12;23;21;287;89;2627;77463;77463;2826;177
2013;12;23;22;288;114;2694;120402;120402;2779;317
2013;12;23;23;288;68;2705;54765;54765;2772;289
2013;12;24;00;288;51;2398;21235;21235;2714;23
2013;12;24;01;288;25;2348;9205;9205;2633;28
2013;12;24;02;288;19;2268;4219;4219;2575;0
2013;12;24;03;288;10;2263;2457;2457;2561;0
2013;12;24;04;288;11;2281;1538;1538;2580;0
2013;12;24;05;288;3;2266;878;878;2557;0
2013;12;24;06;288;18;2171;1175;1175;2477;0
2013;12;25;06;16;2;145;15;15;163;0
2013;12;25;07;96;5;732;356;356;833;0
2013;12;25;08;96;3;732;1170;1170;831;0
2013;12;25;09;96;15;732;2357;2357;843;0
2013;12;25;10;96;12;732;5203;5203;840;0
2013;12;25;11;96;18;732;8304;8304;846;0
2013;12;25;12;96;14;733;10206;10206;842;1
2013;12;25;13;96;28;732;10089;10089;856;0
2013;12;25;14;96;21;766;7503;7503;849;34
2013;12;25;15;96;17;814;6999;6999;845;82
2013;12;25;16;96;21;796;8914;8914;849;64
2013;12;25;17;96;10;767;9555;9555;838;35
2013;12;25;18;96;30;797;9776;9776;858;65
2013;12;25;19;96;24;731;10499;10499;851;0
2013;12;25;20;96;31;830;9988;9988;859;98
2013;12;25;21;96;22;747;9013;9013;850;15
2013;12;25;22;96;22;730;7989;7989;848;0
2013;12;25;23;96;24;748;7198;7198;852;16
2013;12;26;00;96;7;732;4673;4673;835;0
2013;12;26;01;96;6;733;2311;2311;834;1
2013;12;26;02;96;1;732;1223;1223;829;0
2013;12;26;03;96;2;732;583;583;830;0
2013;12;26;04;96;5;732;288;288;833;0
2013;12;26;05;96;4;732;320;320;832;0
2013;12;26;06;96;1;732;478;478;829;0
2013;12;26;07;96;6;732;1366;1366;834;0
2013;12;26;08;96;16;1687;5270;5270;1160;639
2013;12;26;09;96;27;3453;13261;13261;2471;1105
2013;12;26;10;96;42;4494;19537;19537;2158;2474
2013;12;26;11;96;57;4652;23583;23583;3412;1393
2013;12;26;12;96;51;3488;25551;25551;2639;996
2013;12;26;13;96;47;1790;21812;21812;1374;559
2013;12;26;14;96;35;1144;15921;15921;1007;268
2013;12;26;15;96;53;1469;17369;17369;1074;544
2013;12;26;16;96;39;2045;17146;17146;1206;974
2013;12;26;17;96;34;1486;20079;20079;899;717
2013;12;26;18;96;49;1730;19851;19851;1041;834
2013;12;26;19;96;42;1478;17808;17808;1050;566
2013;12;26;20;96;39;885;14849;14849;918;102
2013;12;26;21;96;38;934;13582;13582;869;199
2013;12;26;22;96;25;996;11628;11628;857;260
2013;12;26;23;96;27;857;7725;7725;869;111
2013;12;27;00;96;7;736;5788;5788;835;4
2013;12;27;01;96;9;775;2904;2904;837;43
2013;12;27;02;96;3;734;1073;1073;831;2
2013;12;27;03;96;4;792;689;689;832;60
2013;12;27;04;96;1;732;477;477;829;0
2013;12;27;05;96;5;732;389;389;833;0
2013;12;27;06;64;1;517;284;284;537;45
2013;12;28;06;96;2;764;181;181;862;0
2013;12;28;07;192;9;1605;1426;1426;1736;70
2013;12;28;08;192;10;1953;3729;3729;1910;245
2013;12;28;09;192;36;2686;12990;12990;2168;746
2013;12;28;10;192;57;3507;23014;23014;2266;1490
2013;12;28;11;192;66;3351;33920;33920;2506;1103
2013;12;28;12;192;71;3301;35471;35471;2386;1178
2013;12;28;13;192;77;2869;31957;31957;2419;719
2013;12;28;14;192;49;2179;25600;25600;2155;265
2013;12;28;15;192;73;2740;21797;21797;2296;709
2013;12;28;16;192;63;2784;24452;24452;2383;656
2013;12;28;17;192;58;2670;29736;29736;2330;590
2013;12;28;18;192;57;3381;25727;25727;2396;1234
2013;12;28;19;192;41;2737;21549;21549;2177;793
2013;12;28;20;192;32;2348;18140;18140;2023;549
2013;12;28;21;192;31;2152;18219;18219;2054;321
2013;12;28;22;192;36;1754;12091;12091;1908;74
2013;12;28;23;192;29;1826;11936;11936;1986;61
2013;12;29;00;192;26;1682;8559;8559;1857;43
2013;12;29;01;192;17;1586;6360;6360;1794;1
2013;12;29;02;192;14;1599;2388;2388;1742;63
2013;12;29;03;192;11;1644;2026;2026;1738;109
2013;12;29;04;192;4;1549;901;901;1745;0
2013;12;29;05;192;3;1536;627;627;1731;0
2013;12;29;06;168;8;1319;634;634;1465;30
2013;12;29;07;96;4;732;741;741;832;0
2013;12;29;08;96;6;981;1459;1459;834;249
2013;12;29;09;96;7;1189;2687;2687;833;459
2013;12;29;10;96;28;1625;8769;8769;856;893
2013;12;29;11;96;31;1640;17337;17337;859;908
2013;12;29;12;96;34;1308;18399;18399;862;576
2013;12;29;13;96;28;894;12084;12084;856;162
2013;12;29;14;96;15;917;8804;8804;843;185
2013;12;29;15;96;20;1449;9107;9107;848;717
2013;12;29;16;96;28;1395;19840;19840;856;663
2013;12;29;17;96;30;1392;20606;20606;858;660
2013;12;29;18;96;23;1293;16191;16191;880;532
2013;12;29;19;96;27;1134;12955;12955;855;402
2013;12;29;20;96;26;820;11367;11367;854;88
2013;12;29;21;96;27;935;9764;9764;854;204
2013;12;29;22;96;28;814;8473;8473;856;82
2013;12;29;23;96;14;751;7673;7673;840;21
2013;12;30;00;96;9;731;4547;4547;836;0
2013;12;30;01;96;5;732;2765;2765;833;0
2013;12;30;02;96;3;731;2024;2024;830;0
2013;12;30;03;96;2;732;1070;1070;830;0
2013;12;30;04;96;1;746;391;391;829;14
2013;12;30;05;96;1;732;155;155;829;0
2013;12;30;06;88;3;617;387;387;708;0
Anio;Mes;Dia;Hora;Monitorizar;Redirigir;Interno;Externo;Externo;Cableada;Wifi
2013;12;15;06;176;11;1227;1205;1205;1296;118
2013;12;15;07;384;30;2578;2746;2746;2964;28
2013;12;15;08;384;32;2579;9894;9894;2704;291
2013;12;15;09;384;78;3654;26316;26316;3082;1034
2013;12;15;10;384;123;5585;57167;57167;3716;2376
2013;12;15;11;384;152;6987;81057;81057;3584;3939
2013;12;15;12;384;216;7039;92659;92659;4001;3638
2013;12;15;13;384;231;5831;95497;95497;3437;3009
2013;12;15;14;384;175;5890;77164;77164;3572;2877
2013;12;15;15;384;190;7411;79538;79538;3754;4231
2013;12;15;16;384;213;10077;90041;90041;4097;6577
2013;12;15;17;384;235;11489;106148;106148;4843;7265
2013;12;15;18;384;266;11485;121766;121766;4350;7785
2013;12;15;19;384;310;9065;123797;123797;4586;5173
2013;12;15;20;384;278;8532;113984;113984;4137;5057
2013;12;15;21;384;263;8884;113925;113925;3626;5905
2013;12;15;22;384;220;8584;107362;107362;4082;5106
2013;12;15;23;376;193;5440;79162;79162;3425;2584
2013;12;16;00;384;109;4371;45333;45333;2979;1885
2013;12;16;01;384;58;3576;22400;22400;2809;1209
2013;12;16;02;384;22;2876;8723;8723;2696;586
2013;12;16;03;384;26;2698;4777;4777;2694;414
2013;12;16;04;384;17;2295;4553;4553;2694;2
2013;12;16;05;384;20;2353;3821;3821;2684;73
2013;12;16;06;384;12;2925;6556;6556;2861;460
2013;12;16;07;384;79;4854;18319;18319;3833;1484
2013;12;16;08;384;188;45438;38296;38296;18991;27019
2013;12;16;09;384;302;73734;66896;66896;39410;35010
2013;12;16;10;384;366;85924;79398;79398;42225;44449
2013;12;16;11;384;370;84385;83890;83890;47205;37934
