Anio;Mes;Dia;Hora;Monitorizar;Redirigir;Interno;Externo;Externo;Cableada;Wifi
2014;11;03;10;384;721;111371;79928;79928;59341;53135
2014;11;03;11;384;664;108603;88674;88674;60378;49273
2014;11;03;12;384;726;105951;88815;88815;65387;41674
2014;11;03;13;384;500;79976;77359;77359;55210;25650
2014;11;03;14;384;534;64227;90116;90116;43274;21871
2014;11;03;15;384;615;70605;97029;97029;35165;36439
2014;11;03;16;384;691;64402;117539;117539;31343;34134
2014;11;03;17;384;727;65466;133534;133534;36271;30306
2014;11;03;18;384;727;54950;147598;147598;29600;26461
2014;11;03;19;384;654;41918;129762;129762;28691;14265
2014;11;03;20;384;548;18786;123056;123056;12181;7537
2014;11;03;21;384;440;9879;112571;112571;7486;3217
2014;11;03;22;384;398;7633;95611;95611;4583;3832
2014;11;03;23;384;255;6546;81752;81752;4764;2421
2014;11;04;00;384;163;5455;40439;40439;4354;1648
2014;11;04;01;384;50;4095;14404;14404;4001;528
2014;11;04;02;384;43;3581;8102;8102;3870;138
2014;11;04;03;384;12;3493;5283;5283;3825;64
2014;11;04;04;384;2;3509;2971;2971;3841;54
2014;11;04;05;384;11;3531;4000;4000;3836;90
2014;11;04;06;384;23;3733;8246;8246;4140;0
2014;11;04;07;384;77;8706;19788;19788;5642;3525
2014;11;04;08;384;365;69349;38927;38927;31457;38641
2014;11;04;09;384;533;100107;57371;57371;45416;55608
2014;11;04;10;384;657;111818;75108;75108;57460;55399
2014;11;04;11;384;746;113384;83121;83121;55938;58576
2014;11;04;12;384;641;95949;78003;78003;47722;49252
2014;11;04;13;384;476;76064;71805;71805;51530;25394
2014;11;04;14;384;477;51498;72053;72053;29575;22784
2014;11;04;15;384;560;76321;85104;85104;39487;37778
2014;11;04;16;384;694;80193;105762;105762;38324;42947
2014;11;04;17;384;715;65635;120402;120402;31958;34776
2014;11;04;18;384;703;59504;129389;129389;30160;30431
2014;11;04;19;384;526;36321;122664;122664;16245;20986
2014;11;04;20;384;476;16980;119362;119362;10315;7525
2014;11;04;21;384;371;8932;106369;106369;5714;3973
2014;11;04;22;368;339;6624;93012;93012;4604;2727
2014;11;04;23;383;295;5907;76173;76173;4696;1889
2014;11;05;00;384;111;5934;36900;36900;4198;2231
2014;11;05;01;384;37;4774;14146;14146;4164;1031
2014;11;05;02;384;24;3629;11445;11445;3858;179
2014;11;05;03;384;12;3625;6155;6155;3826;195
